,0,1,2
0,1.7689722271360338e-05,5.1133458326231466e-05,1.9833399444664816e-05
1,1.7689722271360338e-05,3.4088972217487644e-05,1.9833399444664816e-05
2,1.7689722271360338e-05,1.7044486108743822e-05,0.0001388337961126537
3,1.7689722271360338e-05,1.7044486108743822e-05,3.966679888932963e-05
4,1.7689722271360338e-05,1.7044486108743822e-05,3.966679888932963e-05
5,1.7689722271360338e-05,1.7044486108743822e-05,3.966679888932963e-05
6,1.7689722271360338e-05,1.7044486108743822e-05,3.966679888932963e-05
7,1.7689722271360338e-05,1.7044486108743822e-05,3.966679888932963e-05
8,1.7689722271360338e-05,1.7044486108743822e-05,3.966679888932963e-05
9,1.7689722271360338e-05,3.4088972217487644e-05,1.9833399444664816e-05
10,1.7689722271360338e-05,3.4088972217487644e-05,0.0001190003966679889
11,1.7689722271360338e-05,1.7044486108743822e-05,3.966679888932963e-05
12,1.7689722271360338e-05,1.7044486108743822e-05,3.966679888932963e-05
13,1.7689722271360338e-05,1.7044486108743822e-05,3.966679888932963e-05
14,1.7689722271360338e-05,1.7044486108743822e-05,3.966679888932963e-05
15,1.7689722271360338e-05,1.7044486108743822e-05,3.966679888932963e-05
16,1.7689722271360338e-05,1.7044486108743822e-05,3.966679888932963e-05
17,1.7689722271360338e-05,1.7044486108743822e-05,3.966679888932963e-05
18,1.7689722271360338e-05,1.7044486108743822e-05,5.950019833399445e-05
19,1.7689722271360338e-05,1.7044486108743822e-05,3.966679888932963e-05
20,1.7689722271360338e-05,3.4088972217487644e-05,3.966679888932963e-05
21,1.7689722271360338e-05,1.7044486108743822e-05,3.966679888932963e-05
22,1.7689722271360338e-05,1.7044486108743822e-05,3.966679888932963e-05
23,1.7689722271360338e-05,1.7044486108743822e-05,3.966679888932963e-05
24,1.7689722271360338e-05,3.4088972217487644e-05,1.9833399444664816e-05
25,3.5379444542720676e-05,1.7044486108743822e-05,1.9833399444664816e-05
26,1.7689722271360338e-05,1.7044486108743822e-05,5.950019833399445e-05
27,1.7689722271360338e-05,1.7044486108743822e-05,5.950019833399445e-05
28,1.7689722271360338e-05,3.4088972217487644e-05,1.9833399444664816e-05
29,1.7689722271360338e-05,1.7044486108743822e-05,3.966679888932963e-05
30,3.5379444542720676e-05,1.7044486108743822e-05,1.9833399444664816e-05
31,1.7689722271360338e-05,1.7044486108743822e-05,9.916699722332408e-05
32,1.7689722271360338e-05,1.7044486108743822e-05,3.966679888932963e-05
33,1.7689722271360338e-05,1.7044486108743822e-05,3.966679888932963e-05
34,1.7689722271360338e-05,1.7044486108743822e-05,3.966679888932963e-05
35,1.7689722271360338e-05,1.7044486108743822e-05,3.966679888932963e-05
36,1.7689722271360338e-05,3.4088972217487644e-05,1.9833399444664816e-05
37,1.7689722271360338e-05,1.7044486108743822e-05,3.966679888932963e-05
38,1.7689722271360338e-05,3.4088972217487644e-05,1.9833399444664816e-05
39,3.5379444542720676e-05,1.7044486108743822e-05,5.950019833399445e-05
40,1.7689722271360338e-05,1.7044486108743822e-05,3.966679888932963e-05
41,1.7689722271360338e-05,1.7044486108743822e-05,3.966679888932963e-05
42,1.7689722271360338e-05,1.7044486108743822e-05,3.966679888932963e-05
43,1.7689722271360338e-05,1.7044486108743822e-05,3.966679888932963e-05
44,1.7689722271360338e-05,1.7044486108743822e-05,5.950019833399445e-05
45,1.7689722271360338e-05,6.817794443497529e-05,5.950019833399445e-05
46,1.7689722271360338e-05,3.4088972217487644e-05,1.9833399444664816e-05
47,1.7689722271360338e-05,1.7044486108743822e-05,3.966679888932963e-05
48,1.7689722271360338e-05,1.7044486108743822e-05,3.966679888932963e-05
49,1.7689722271360338e-05,3.4088972217487644e-05,1.9833399444664816e-05
